"Year","Country","Varroa","count","total","percent"
1988,"MEXICO","Unknown",141,141,100
1988,"USA","Unknown",9,9,100
1989,"MEXICO","Unknown",63,63,100
1989,"USA","Unknown",6,6,100
1990,"MEXICO","Unknown",219,219,100
1990,"USA","Unknown",14,14,100
1991,"MEXICO","Unknown",273,273,100
1991,"USA","Unknown",24,24,100
1992,"MEXICO","Unknown",64,64,100
1992,"USA","NO",3,36,8.33
1992,"USA","YES",4,36,11.11
1992,"USA","Unknown",29,36,80.56
1993,"MEXICO","Unknown",47,47,100
1993,"USA","NO",2,57,3.51
1993,"USA","Unknown",55,57,96.49
1994,"USA","NO",12,28,42.86
1994,"USA","YES",2,28,7.14
1994,"USA","Unknown",14,28,50
1995,"MEXICO","NO",12,23,52.17
1995,"MEXICO","YES",9,23,39.13
1995,"MEXICO","Unknown",2,23,8.7
1995,"USA","YES",2,4,50
1995,"USA","Unknown",2,4,50
1996,"MEXICO","Unknown",7,7,100
1996,"USA","NO",2,7,28.57
1996,"USA","YES",4,7,57.14
1996,"USA","Unknown",1,7,14.29
1997,"USA","Unknown",8,8,100
2001,"USA","Unknown",4,4,100
