"Geocluster","Year","ABPV","AM","AR","BQCV","CBPV","DWV","IAPV","KBV","LSV","SBPV","SV","VDV1","VDV2","VDV3","VO1","VTV","Varroa","African"
"BOR",1988,33.3333333333333,88.8888888888889,0,66.6666666666667,0,11.1111111111111,0,0,88.8888888888889,0,44.4444444444444,0,0,0,0,0,0,44.4444444444444
"BOR",1989,16.6666666666667,100,16.6666666666667,100,0,33.3333333333333,0,0,100,0,83.3333333333333,0,0,0,0,0,0,16.6666666666667
"BOR",1990,35.7142857142857,85.7142857142857,0,71.4285714285714,0,0,0,0,85.7142857142857,0,35.7142857142857,0,0,0,0,0,0,28.5714285714286
"BOR",1991,4.16666666666667,83.3333333333333,0,58.3333333333333,0,0,0,0,91.6666666666667,0,33.3333333333333,0,0,0,0,4.16666666666667,0,62.5
"BOR",1992,43.75,68.75,0,75,0,0,0,6.25,93.75,0,68.75,0,0,0,0,0,25,31.25
"BOR",1993,36.3636363636364,100,0,90.9090909090909,0,18.1818181818182,0,0,81.8181818181818,0,27.2727272727273,0,0,0,0,0,0,100
"BOR",1994,50,83.3333333333333,0,83.3333333333333,0,0,0,0,83.3333333333333,0,33.3333333333333,0,0,0,0,0,16.6666666666667,100
"BOR",1996,50,100,0,100,0,100,0,0,100,0,0,0,0,0,0,0,0,100
"TAM",1988,9.9290780141844,95.7446808510638,0,62.4113475177305,5.67375886524823,6.38297872340426,0.709219858156028,1.41843971631206,90.0709219858156,0,57.4468085106383,0.709219858156028,0,0,0,0,0.709219858156028,26.241134751773
"TAM",1989,7.93650793650794,96.8253968253968,0,65.0793650793651,0,6.34920634920635,0,0,88.8888888888889,1.58730158730159,63.4920634920635,0,0,0,0,0,0,28.5714285714286
"TAM",1990,8.82352941176471,93.3823529411765,0,41.1764705882353,5.14705882352941,18.3823529411765,0,0.735294117647059,60.2941176470588,0.735294117647059,31.6176470588235,0,0,0,0,0,0,56.6176470588235
"TAM",1991,15.3846153846154,90.8424908424908,1.83150183150183,57.5091575091575,5.86080586080586,10.989010989011,0,1.46520146520147,72.1611721611722,0,37.3626373626374,0.366300366300366,0,0,0,0,0,94.5054945054945
"TAM",1992,18.75,93.75,0,37.5,10.9375,6.25,0,3.125,78.125,0,34.375,0,0,0,0,0,0,100
"TAM",1993,70.2127659574468,100,0,89.3617021276596,12.7659574468085,8.51063829787234,14.8936170212766,6.38297872340426,76.5957446808511,0,27.6595744680851,0,0,0,0,0,0,100
"TAM",1995,26.0869565217391,95.6521739130435,0,100,8.69565217391304,21.7391304347826,0,0,65.2173913043478,0,8.69565217391304,0,0,0,0,0,39.1304347826087,100
"TAM",1996,28.5714285714286,100,14.2857142857143,57.1428571428571,0,42.8571428571429,0,0,71.4285714285714,0,14.2857142857143,0,0,14.2857142857143,0,14.2857142857143,0,100
"VER",1990,18.0722891566265,85.5421686746988,2.40963855421687,34.9397590361446,4.81927710843374,10.8433734939759,0,0,69.8795180722892,1.20481927710843,26.5060240963855,1.20481927710843,0,0,0,0,0,90.3614457831325
"WEL",1992,0,75,0,70,10,20,0,0,75,0,80,5,0,0,0,0,0,95
"WEL",1993,19.5652173913043,84.7826086956522,0,67.3913043478261,10.8695652173913,8.69565217391304,0,0,78.2608695652174,0,26.0869565217391,2.17391304347826,0,0,0,0,0,56.5217391304348
"WEL",1994,4.54545454545455,95.4545454545455,0,81.8181818181818,0,13.6363636363636,0,0,77.2727272727273,0,77.2727272727273,0,0,0,0,4.54545454545455,4.54545454545455,68.1818181818182
"WEL",1995,25,100,25,100,0,75,0,0,50,0,25,0,0,0,25,0,50,100
"WEL",1996,40,100,0,20,0,100,0,0,60,0,40,20,20,0,0,0,80,100
"WEL",1997,12.5,87.5,25,37.5,0,100,12.5,12.5,25,0,37.5,25,0,0,25,0,0,100
"WEL",2001,25,50,0,75,0,75,0,0,25,0,0,0,0,0,0,0,0,100
